# ========
# captured on: Sun Aug  9 12:03:32 2015
# hostname : dev-1
# os release : 3.13.0-61-generic
# perf version : 3.13.11-ckt22
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i7-3667U CPU @ 2.00GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 2043140 kB
# cmdline : /usr/lib/linux-tools-3.13.0-61/perf record ./play_icfp2015 -f problems/problem_0.json 
# event : name = cpu-clock, type = 1, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9K of event 'cpu-clock'
# Event count (approx.): 2393250000
#
# Overhead        Command        Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Symbol
# ........  .............  ...................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%  play_icfp2015  libc-2.19.so         [.] malloc_consolidate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.03%  play_icfp2015  ld-2.19.so           [.] do_lookup_x                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.03%  play_icfp2015  ld-2.19.so           [.] _dl_lookup_symbol_x                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.03%  play_icfp2015  [kernel.kallsyms]    [k] __do_softirq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
     0.03%  play_icfp2015  [kernel.kallsyms]    [k] queue_work_on                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.02%  play_icfp2015  play_icfp2015        [.] _ZNSsD1Ev@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.02%  play_icfp2015  play_icfp2015        [.] _ZNKSs4findEcm@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.02%  play_icfp2015  play_icfp2015        [.] memmove@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.02%  play_icfp2015  play_icfp2015        [.] _ZNSaIcEC2ERKS_@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.02%  play_icfp2015  play_icfp2015        [.] operator new(unsigned long, void*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.02%  play_icfp2015  play_icfp2015        [.] State::IsGameOver(Game const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.02%  play_icfp2015  play_icfp2015        [.] std::_Bit_iterator::operator+=(long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.02%  play_icfp2015  play_icfp2015        [.] std::vector<Unit, std::allocator<Unit> >::operator[](unsigned long) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.02%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.02%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::_M_fill_assign(unsigned long, char const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.02%  play_icfp2015  play_icfp2015        [.] void std::vector<char, std::allocator<char> >::_M_range_initialize<char const*>(char const*, char const*, std::forward_iterator_tag)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
     0.02%  play_icfp2015  play_icfp2015        [.] char* std::uninitialized_copy<char const*, char*>(char const*, char const*, char*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.02%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::new_allocator<unsigned long>::new_allocator(__gnu_cxx::new_allocator<unsigned long> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.02%  play_icfp2015  play_icfp2015        [.] std::_Iter_base<char const*, false>::_S_base(char const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.02%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::evaluateScore(Game const&, State const&, State const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
     0.02%  play_icfp2015  play_icfp2015        [.] std::priority_queue<(anonymous namespace)::Item, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >, std::less<(anonymous namespace)::Item> >::top() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
     0.02%  play_icfp2015  play_icfp2015        [.] std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >::pop_back()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.02%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::Item&& std::forward<(anonymous namespace)::Item>(std::remove_reference<(anonymous namespace)::Item>::type&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.02%  play_icfp2015  play_icfp2015        [.] void std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >::emplace_back<(anonymous namespace)::Item>((anonymous namespace)::Item&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.02%  play_icfp2015  play_icfp2015        [.] void std::__pop_heap<__gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, std::less<(anonymous namespace)::Item> >(__gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, __gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, __gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, std::less<(anonymous namespace)::Item>)
     0.02%  play_icfp2015  play_icfp2015        [.] std::enable_if<std::allocator_traits<std::allocator<(anonymous namespace)::Item> >::__destroy_helper<(anonymous namespace)::Item>::value, void>::type std::allocator_traits<std::allocator<(anonymous namespace)::Item> >::_S_destroy<(anonymous namespace)::Item>(std::allocator<(anonymous namespace)::Item>&, (anonymous namespace)::Item*)                                                                                                                                                                                                                                                                                                                                                                           
     0.02%  play_icfp2015  libstdc++.so.6.0.19  [.] _ZNSs12_S_constructEmcRKSaIcE@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.02%  play_icfp2015  libstdc++.so.6.0.19  [.] _ZNSs4swapERSs@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.02%  play_icfp2015  libstdc++.so.6.0.19  [.] std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(unsigned long, char, std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.02%  play_icfp2015  libgcc_s.so.1        [.] 0x0000000000002bd6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.02%  play_icfp2015  libc-2.19.so         [.] __init_cpu_features                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.01%  play_icfp2015  play_icfp2015        [.] _ZNSsC1EmcRKSaIcE@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.01%  play_icfp2015  play_icfp2015        [.] _ZNSaIcEC1ERKS_@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.01%  play_icfp2015  play_icfp2015        [.] _ZNKSs7compareEPKc@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.01%  play_icfp2015  play_icfp2015        [.] _ZNSs6insertEmRKSs@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
     0.01%  play_icfp2015  play_icfp2015        [.] _ZNSsC1EOSs@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
     0.01%  play_icfp2015  play_icfp2015        [.] State::IsClear(Game const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.01%  play_icfp2015  play_icfp2015        [.] std::_Bit_reference::operator=(std::_Bit_reference const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.01%  play_icfp2015  play_icfp2015        [.] void std::swap<picojson::value::_storage>(picojson::value::_storage&, picojson::value::_storage&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.01%  play_icfp2015  play_icfp2015        [.] int const& std::min<int>(int const&, int const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.01%  play_icfp2015  play_icfp2015        [.] std::_Rb_tree<std::string, std::pair<std::string const, picojson::value>, std::_Select1st<std::pair<std::string const, picojson::value> >, std::less<std::string>, std::allocator<std::pair<std::string const, picojson::value> > >::_S_right(std::_Rb_tree_node_base*)                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.01%  play_icfp2015  play_icfp2015        [.] std::_Rb_tree<std::string, std::pair<std::string const, picojson::value>, std::_Select1st<std::pair<std::string const, picojson::value> >, std::less<std::string>, std::allocator<std::pair<std::string const, picojson::value> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<std::string const, picojson::value> >, std::string const&)                                                                                                                                                                                                                                                                                                                                                     
     0.01%  play_icfp2015  play_icfp2015        [.] std::_Vector_base<Cell, std::allocator<Cell> >::_M_create_storage(unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.01%  play_icfp2015  play_icfp2015        [.] std::_Rb_tree<std::string, std::pair<std::string const, picojson::value>, std::_Select1st<std::pair<std::string const, picojson::value> >, std::less<std::string>, std::allocator<std::pair<std::string const, picojson::value> > >::_M_get_node()                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
     0.01%  play_icfp2015  play_icfp2015        [.] unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.01%  play_icfp2015  play_icfp2015        [.] std::pair<std::string const, picojson::value> const& std::forward<std::pair<std::string const, picojson::value> const&>(std::remove_reference<std::pair<std::string const, picojson::value> const&>::type&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
     0.01%  play_icfp2015  play_icfp2015        [.] std::vector<char, std::allocator<char> >::vector(std::initializer_list<char>, std::allocator<char> const&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
     0.01%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >::operator*() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
     0.01%  play_icfp2015  play_icfp2015        [.] char* std::__uninitialized_copy_a<char const*, char*, char>(char const*, char const*, char*, std::allocator<char>&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
     0.01%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::new_allocator<unsigned long>::new_allocator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.01%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::new_allocator<unsigned long>::~new_allocator()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
     0.01%  play_icfp2015  play_icfp2015        [.] char* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)                                                                                                                                                                                                                                                                                                                                                                                     
     0.01%  play_icfp2015  play_icfp2015        [.] std::_Niter_base<char const*>::iterator_type std::__niter_base<char const*>(char const*)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.01%  play_icfp2015  play_icfp2015        [.] (anonymous namespace)::getTime()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.01%  play_icfp2015  play_icfp2015        [.] std::priority_queue<(anonymous namespace)::Item, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >, std::less<(anonymous namespace)::Item> >::empty() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.01%  play_icfp2015  play_icfp2015        [.] std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >::push_back((anonymous namespace)::Item&&)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
     0.01%  play_icfp2015  play_icfp2015        [.] std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> >::front() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
     0.01%  play_icfp2015  play_icfp2015        [.] void std::pop_heap<__gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, std::less<(anonymous namespace)::Item> >(__gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, __gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >, std::less<(anonymous namespace)::Item>)                                                                                                                                                       
     0.01%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<(anonymous namespace)::Item*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >::operator-(long const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
     0.01%  play_icfp2015  play_icfp2015        [.] __gnu_cxx::__normal_iterator<(anonymous namespace)::Item const*, std::vector<(anonymous namespace)::Item, std::allocator<(anonymous namespace)::Item> > >::operator*() const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
